NO.,LAST NAME,FIRST NAME,AGE,ADDRESS,CITY,STATE,ZIP,EMAIL,CLUB,DIV,SEX,BIRTHDATE,TSHIRT,PHONE,PLACE,DIVPLACE,DIVTOTAL,SEXPLACE,SEXTOTAL,TIME,PACE2,POINTS
0,,?????????,,,,,,,,,,,,(   )   -,35,,,,,1:23:55,13:31,
83,Riel,Tom,56,9 George ST.,WILKES BARRE,NY,18765,,MMRC,M5099,M,02/12/50,M,(607)777-1123,41,19,20,29,35,1:27:14,14:03,      20
3,Schwartz,Margaret,42,348 Summerset St.,Vernon,NY,13468,runscore@stny.rr.com,Vernon RC,F4049,F,05/13/64,X,(   )   -,17,4,6,5,11,1:16:11,12:17,      19
4,Held,Frank,51,1123 Ford Road,Vernon,NY,13468,alanjones@stny.rr.com,,M5099,M,01/13/55,X,(   )   -,10,2,6,6,35,1:11:55,11:35,      18
1,Button,DDDDDs,65,98 West Ave.,Walton,PA,19876,jones@geol.binghamton.edu,Walton RC,M5099,M,01/24/41,M,(   )   -,21,7,20,13,35,1:18:20,12:37,      17
5,Cramer,Paul,75,56 Sheldon St,Walton,PA,19876,,Walton RC,M5099,M,06/30/30,S,(   )   -,2,1,20,1,35,1:07:52,10:56,
46,Evans,Patti,38,69 Front St.,Vernon,NY,13468,,Vernon RC,F3039,F,10/31/67,M,(   )   -,45,1,1,11,11,1:30:05,14:31,
6,Winters,Paul,36,89 Fairview Ave.,Mount Morrow,NY,13900,,MMRC,M3039,M,08/26/69,M,(   )   -,39,5,7,27,35,1:25:45,13:49,      16
7,Winters,Fred,32,89 Fairview Ave.,Mount Morrow,NY,13900,,MMRC,M3039,M,12/25/73,S,(   )   -,20,3,7,12,35,1:17:59,12:34,
8,Demo,Steve,50,"RD#1, Box 13-A",Mount Morrow,NY,13900,,,M5099,M,03/06/56,M,(   )   -,43,4,6,31,35,1:28:41,14:17,
9,Class,Pete,46,14 McFadden Road,Northville NY,NY,13900,,MMRC,M4049,M,11/11/59,X,(   )   -,47,6,6,34,35,1:33:59,15:08,
10,Hoble,Steven,68,13 Cortland Dr.,Vernon,NY,13468,,Vernon RC,M5099,M,09/01/37,,(607)754-3345,37,17,20,26,35,1:25:15,13:44,
103,Gardner,Mary,56,121 Keller Ave.,Mount Morrow,NY,13900,,MMRC,F5099,F,03/23/50,M,(   )   -,18,2,4,6,11,1:17:27,12:29,
104,Oats,Karen,49,14 North St.,Vernon,NY,13469,,,F4049,F,01/31/57,S,(   )   -,1,1,6,1,11,1:03:45,10:16,
11,McLaughlin,Paul,60,132 Park St.,Williamsport,PA,17890,,,M5099,M,04/12/46,X,(   )   -,23,8,20,14,35,1:18:39,12:40,
12,deVilbris,Stuart,66,198 Front St.,Devon,PA,12876,,MMRC,M5099,M,06/09/40,L,(   )   -,32,14,20,23,35,1:22:21,13:16,
513,Jones,Norman,77,151 Main St.,Vernon,NY,13469,,Vernon RC,M5099,M,09/29/28,L,(   )   -,25,9,20,16,35,1:19:53,12:52,
13,Adams,Ken,80,"RD #3, Box 121",Norton,NY,18765,,,M5099,M,12/14/25,M,(   )   -,30,12,20,21,35,1:21:54,13:12,
15,Swift,Ken,49,125 Cary Ave.,Swift Town,KY,19346,,Swift RR,M4049,M,07/01/56,L,(   )   -,13,3,6,8,35,1:15:02,12:05,
