   

        ********** FEMALE OVERALL RESULTS FOR 10k RACE ***********
    1 Tobie Kinforth                            34 Kane            PA            8:58:33 
    2 Brennan Beadham                           60 Walton          NY Vernon RC  8:59:53 
    3 Evelyn Gautrey                            58 Kane            NY Vernon RC  9:00:31 
         ********** MALE OVERALL RESULTS FOR 10k RACE ***********
    1 Tabor Lean                                49 Apalachin       PA MMRC       9:02:12 
    2 Hermina Treswell                          69 Afton           NY Walton RC  9:03:14 
    3 Cleon Surmeyers                           38 Walton          DE Vernon RC  9:04:23 
FEMALE AGE RACE 10k GROUP:  1 - 19
MALE AGE RACE 10k GROUP:  1 - 19
FEMALE AGE RACE 10k GROUP:  20 - 29
    1    21 Aryn Garrit                               25 Norton             PA 9:03:43 
    2    34 Joannes Garbett                           29 Westtown           PA 9:05:14 
    3    87 Tiena Nesfield                            28 Delaware           NY 9:11:09 
MALE AGE RACE 10k GROUP:  20 - 29
    1    36 Paulo Dilliway                            27 Northville         PA 9:05:27 
    2    48 Camala Winham                             24 Dwighton           NY 9:06:47 
FEMALE AGE RACE 10k GROUP:  30 - 39
    1    19 Frannie Harden                            34 Johnson City       NJ 9:03:15 
    2    30 Alessandra Mowatt                         38 Middletown         PA 9:04:47 
    3    35 Griswold Mcmanaman                        37 Norton             PA 9:05:24 
MALE AGE RACE 10k GROUP:  30 - 39
    1    31 Lyndsie Tarply                            32 Moorestown         NY 9:05:09 
    2    44 Darwin Wragg                              39 Dwighton           PA 9:06:19 
    3    74 Ines Millis                               33 Issacstown         NY 9:09:14 
FEMALE AGE RACE 10k GROUP:  40 - 49
    1    10 Alick Dabernott                           49 Northville         NY 9:01:15 
    2    11 Lezley Peche                              48 Norton             PA 9:01:28 
    3    55 Joyann Briars                             43 Norton             PA 9:07:33 
MALE AGE RACE 10k GROUP:  40 - 49
    1    43 Benton Cristoforo                         46 Devon              NY 9:06:17 
FEMALE AGE RACE 10k GROUP:  50 - 59
    1    17 Antonella Lampbrecht                      53 Swift Town         DE 9:03:12 
    2    52 Samuel Louden                             56 Issacstown         PA 9:07:16 
MALE AGE RACE 10k GROUP:  50 - 59
    1    27 Cornela Barry                             52 Norton             NY 9:04:41 
    2    38 Katalin Kocher                            50 Westtown           NY 9:05:34 
    3    45 Angelika Loddon                           52 Moorestown         PA 9:06:22 
FEMALE AGE RACE 10k GROUP:  60 - 99
    1    20 Evangelin Jeffreys                        61 Stumbleton         NJ 9:03:18 
    2    22 Pascal Cockley                            67 Walton             NY 9:03:55 
    3    24 Leonie Rootes                             70 Vernon             NY 9:04:10 
MALE AGE RACE 10k GROUP:  60 - 99
    1    37 Ted Ted                                   64 Middletown         NY 9:05:27 
    2    96 Vanya Ollerhad                            62 Carbondale         NY 9:17:18 
